Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.00      0.94     0.01    16960     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >::__normal_iterator(std::shared_ptr<hittable> const* const&)
  1.00      0.95     0.01     8146     0.00     0.00  vec3::random(double, double)
  1.00      0.96     0.01     4250     0.00     0.00  hit_record::operator=(hit_record const&)
  1.00      0.97     0.01     3755     0.00     0.00  std::__shared_ptr_access<material, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  1.00      0.98     0.01      312     0.03     0.03  __gthread_mutex_unlock(pthread_mutex_t*)
  1.00      0.99     0.01      123     0.08     0.08  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  1.00      1.00     0.01        2     5.00     5.00  std::shared_ptr<std::enable_if<!is_array<lambertian>::value, lambertian>::type> std::make_shared<lambertian, vec3>(vec3&&)
  0.50      1.00     0.01                             sphere::~sphere()
  0.00      1.00     0.00  4388679     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<hittable> const*, std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > > >::operator++()
  0.00      1.00     0.00  3435480     0.00     0.00  std::__shared_ptr_access<hittable, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      1.00     0.00   114209     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      1.00     0.00    68026     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      1.00     0.00    49046     0.00     0.00  random_double()
  0.00      1.00     0.00    43827     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      1.00     0.00    42743     0.00     0.00  vec3::vec3()
  0.00      1.00     0.00    42123     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      1.00     0.00    39992     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      1.00     0.00    38104     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      1.00     0.00    37888     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::max()
  0.00      1.00     0.00    34883     0.00     0.00  operator+(vec3 const&, vec3 const&)
  0.00      1.00     0.00    34417     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      1.00     0.00    31337     0.00     0.00  random_double(double, double)
  0.00      1.00     0.00    26202     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.00     0.00    24060     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      1.00     0.00    19522     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      1.00     0.00    19038     0.00     0.00  std::shared_ptr<material>::~shared_ptr()
  0.00      1.00     0.00    18713     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      1.00     0.00    18267     0.00     0.00  std::shared_ptr<material>::shared_ptr()
  0.00      1.00     0.00    18135     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_add_ref_copy()
  0.00      1.00     0.00    17291     0.00     0.00  operator/(vec3, double)
  0.00      1.00     0.00    17232     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::__shared_ptr()
  0.00      1.00     0.00    16800     0.00     0.00  linear_to_gamma(double)
  0.00      1.00     0.00    16800     0.00     0.00  interval::clamp(double) const
  0.00      1.00     0.00    15840     0.00     0.00  hit_record::hit_record()
  0.00      1.00     0.00    14457     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.00      1.00     0.00    13969     0.00     0.00  hit_record::~hit_record()
  0.00      1.00     0.00    13704     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      1.00     0.00    13438     0.00     0.00  interval::surrounds(double) const
  0.00      1.00     0.00    12417     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      1.00     0.00    11312     0.00     0.00  __gnu_cxx::__normal_iterator<vec3 const*, std::vector<vec3, std::allocator<vec3> > >::base() const
  0.00      1.00     0.00    11225     0.00     0.00  std::shared_ptr<material>::operator=(std::shared_ptr<material> const&)
  0.00      1.00     0.00     9123     0.00     0.00  std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > >::end() const
  0.00      1.00     0.00     8248     0.00     0.00  vec3::length() const
  0.00      1.00     0.00     8117     0.00     0.00  ray::ray(vec3 const&, vec3 const&)
  0.00      1.00     0.00     8071     0.00     0.00  std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > >::begin() const
  0.00      1.00     0.00     7560     0.00     0.00  vec3::y() const
  0.00      1.00     0.00     7034     0.00     0.00  unit_vector(vec3)
  0.00      1.00     0.00     6009     0.00     0.00  ray::at(double) const
  0.00      1.00     0.00     5944     0.00     0.00  vec3::operator[](int)
  0.00      1.00     0.00     5902     0.00     0.00  std::vector<vec3, std::allocator<vec3> >::operator[](unsigned long)
  0.00      1.00     0.00     5855     0.00     0.00  std::vector<std::vector<vec3, std::allocator<vec3> >, std::allocator<std::vector<vec3, std::allocator<vec3> > > >::operator[](unsigned long)
  0.00      1.00     0.00     5656     0.00     0.00  bool __gnu_cxx::operator!=<vec3 const*, std::vector<vec3, std::allocator<vec3> > >(__gnu_cxx::__normal_iterator<vec3 const*, std::vector<vec3, std::allocator<vec3> > > const&, __gnu_cxx::__normal_iterator<vec3 const*, std::vector<vec3, std::allocator<vec3> > > const&)
  0.00      1.00     0.00     5600     0.00     0.00  write_color(std::ostream&, vec3, int)
  0.00      1.00     0.00     5600     0.00     0.00  __gnu_cxx::__normal_iterator<vec3 const*, std::vector<vec3, std::allocator<vec3> > >::operator++()
  0.00      1.00     0.00     5600     0.00     0.00  vec3::x() const
  0.00      1.00     0.00     5600     0.00     0.00  vec3::z() const
  0.00      1.00     0.00     5600     0.00     0.00  __gnu_cxx::__normal_iterator<vec3 const*, std::vector<vec3, std::allocator<vec3> > >::operator*() const
  0.00      1.00     0.00     5600     0.00     0.00  void std::_Construct<vec3, vec3 const&>(vec3*, vec3 const&)
  0.00      1.00     0.00     5478     0.00     0.00  hit_record::set_face_normal(ray const&, vec3 const&)
  0.00      1.00     0.00     4604     0.00     0.00  std::__shared_ptr_access<material, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      1.00     0.00     3996     0.00     0.01  random_in_unit_sphere()
  0.00      1.00     0.00     3904     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      1.00     0.00     3887     0.00     0.01  random_unit_vector()
  0.00      1.00     0.00     3661     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      1.00     0.00     3528     0.00     0.00  std::_Sp_ebo_helper<0, std::allocator<void>, true>::_S_get(std::_Sp_ebo_helper<0, std::allocator<void>, true>&)
  0.00      1.00     0.00     3484     0.00     0.00  random_in_unit_disk()
  0.00      1.00     0.00     3459     0.00     0.01  lambertian::scatter(ray const&, hit_record const&, vec3&, ray&) const
  0.00      1.00     0.00     3455     0.00     0.00  vec3::near_zero() const
  0.00      1.00     0.00     3426     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      1.00     0.00     3263     0.00     0.00  camera::pixel_sample_square() const
  0.00      1.00     0.00     2987     0.00     0.00  operator*(vec3 const&, vec3 const&)
  0.00      1.00     0.00     2787     0.00     0.00  std::shared_ptr<hittable>::~shared_ptr()
  0.00      1.00     0.00     2787     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      1.00     0.00     2779     0.00     0.00  camera::defocus_disk_sample() const
  0.00      1.00     0.00     2646     0.00     0.00  __gnu_cxx::__aligned_buffer<sphere>::_M_ptr()
  0.00      1.00     0.00     2646     0.00     0.00  __gnu_cxx::__aligned_buffer<sphere>::_M_addr()
  0.00      1.00     0.00     2646     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count(std::__shared_count<(__gnu_cxx::_Lock_policy)2> const&)
  0.00      1.00     0.00     2646     0.00     0.00  std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      1.00     0.00     2112     0.00     0.00  __gnu_cxx::__aligned_buffer<lambertian>::_M_ptr()
  0.00      1.00     0.00     2112     0.00     0.00  __gnu_cxx::__aligned_buffer<lambertian>::_M_addr()
  0.00      1.00     0.00     2112     0.00     0.00  std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      1.00     0.00     2090     0.00     0.01  camera::get_ray(int, int) const
  0.00      1.00     0.00     1764     0.00     0.00  std::_Sp_ebo_helper<0, std::allocator<void>, true>::_Sp_ebo_helper(std::allocator<void> const&)
  0.00      1.00     0.00     1764     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>*)
  0.00      1.00     0.00     1764     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::~__allocated_ptr()
  0.00      1.00     0.00     1764     0.00     0.00  std::__new_allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::~__new_allocator()
  0.00      1.00     0.00     1764     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_Sp_counted_base()
  0.00      1.00     0.00     1764     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::~_Sp_counted_base()
  0.00      1.00     0.00     1764     0.00     0.00  std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_Impl::_M_alloc()
  0.00      1.00     0.00     1760     0.00     0.00  std::shared_ptr<material>::shared_ptr(std::shared_ptr<material> const&)
  0.00      1.00     0.00     1760     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      1.00     0.00     1743     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      1.00     0.00     1525     0.00     0.00  tbb::detail::d1::call_itt_task_notify(tbb::detail::d1::notify_type, void*)
  0.00      1.00     0.00     1425     0.00     0.00  tbb::detail::d1::partition_type_base<tbb::detail::d1::auto_partition_type>::self()
  0.00      1.00     0.00     1408     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>*)
  0.00      1.00     0.00     1408     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::~__allocated_ptr()
  0.00      1.00     0.00     1408     0.00     0.00  std::__new_allocator<std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::~__new_allocator()
  0.00      1.00     0.00     1408     0.00     0.00  std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_Impl::_M_alloc()
  0.00      1.00     0.00     1404     0.00     0.00  vec3::random()
  0.00      1.00     0.00     1373     0.00     0.00  ray::ray()
  0.00      1.00     0.00     1171     0.00     0.00  vec3::operator-() const
  0.00      1.00     0.00     1144     0.00     0.00  vec3::operator+=(vec3 const&)
  0.00      1.00     0.00     1023     0.00     0.00  std::shared_ptr<hittable>::shared_ptr(std::shared_ptr<hittable>&&)
  0.00      1.00     0.00     1023     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      1.00     0.00     1023     0.00     0.00  void std::__relocate_object_a<std::shared_ptr<hittable>, std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > >(std::shared_ptr<hittable>*, std::shared_ptr<hittable>*, std::allocator<std::shared_ptr<hittable> >&)
  0.00      1.00     0.00      971     0.00     0.00  tbb::detail::d1::blocked_range<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::size() const
  0.00      1.00     0.00      883     0.00     0.00  hittable::hittable()
  0.00      1.00     0.00      883     0.00     0.00  hittable::~hittable()
  0.00      1.00     0.00      882     0.00     0.00  hittable_list::add(std::shared_ptr<hittable>)
  0.00      1.00     0.00      882     0.00     0.00  sphere::sphere(vec3, double, std::shared_ptr<material>)
  0.00      1.00     0.00      882     0.00     0.00  sphere::~sphere()
  0.00      1.00     0.00      882     0.00     0.00  material::material()
  0.00      1.00     0.00      882     0.00     0.00  material::~material()
  0.00      1.00     0.00      882     0.00     0.00  std::shared_ptr<sphere>::~shared_ptr()
  0.00      1.00     0.00      882     0.00     0.00  std::shared_ptr<hittable>::shared_ptr(std::shared_ptr<hittable> const&)
  0.00      1.00     0.00      882     0.00     0.00  std::shared_ptr<hittable>::shared_ptr<sphere, void>(std::shared_ptr<sphere>&&)
  0.00      1.00     0.00      882     0.00     0.00  std::enable_if<!__has_esft_base<sphere>::value, void>::type std::__shared_ptr<sphere, (__gnu_cxx::_Lock_policy)2>::_M_enable_shared_from_this_with<sphere, sphere>(sphere*)
  0.00      1.00     0.00      882     0.00     0.00  std::__shared_ptr<sphere, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      1.00     0.00      882     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2> const&)
  0.00      1.00     0.00      882     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<sphere, void>(std::__shared_ptr<sphere, (__gnu_cxx::_Lock_policy)2>&&)
  0.00      1.00     0.00      882     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::get()
  0.00      1.00     0.00      882     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::operator=(decltype(nullptr))
  0.00      1.00     0.00      882     0.00     0.00  std::__new_allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::deallocate(std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>*, unsigned long)
  0.00      1.00     0.00      882     0.00     0.00  std::__new_allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::allocate(unsigned long, void const*)
  0.00      1.00     0.00      882     0.00     0.00  std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.00     0.00      882     0.00     0.00  std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.00     0.00      882     0.00     0.00  std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_Impl::_Impl(std::allocator<void>)
  0.00      1.00     0.00      882     0.00     0.00  std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr_inplace()
  0.00      1.00     0.00      882     0.00     0.00  std::vector<std::shared_ptr<hittable>, std::allocator<std::shared_ptr<hittable> > >::push_back(std::shared_ptr<hittable> const&)
  0.00      1.00     0.00      882     0.00     0.00  std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>* std::__to_address<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >(std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>*)
  0.00      1.00     0.00      882     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > > std::__allocate_guarded<std::allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >(std::allocator<std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >&)
  0.00      1.00     0.00      882     0.00     0.00  void std::_Destroy<sphere>(sphere*)
  0.00      1.00     0.00      882     0.00     0.00  void std::_Destroy<std::shared_ptr<hittable> >(std::shared_ptr<hittable>*)
  0.00      1.00     0.00      878     0.00     0.00  std::shared_ptr<sphere>::shared_ptr<std::allocator<void>, vec3&, double, std::shared_ptr<material>&>(std::_Sp_alloc_shared_tag<std::allocator<void> >, vec3&, double&&, std::shared_ptr<material>&)
  0.00      1.00     0.00      878     0.00     0.00  std::__shared_ptr<sphere, (__gnu_cxx::_Lock_policy)2>::__shared_ptr<std::allocator<void>, vec3&, double, std::shared_ptr<material>&>(std::_Sp_alloc_shared_tag<std::allocator<void> >, vec3&, double&&, std::shared_ptr<material>&)
  0.00      1.00     0.00      878     0.00     0.00  std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>::swap(std::__shared_ptr<material, (__gnu_cxx::_Lock_policy)2>&)
  0.00      1.00     0.00      878     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count<sphere, std::allocator<void>, vec3&, double, std::shared_ptr<material>&>(sphere*&, std::_Sp_alloc_shared_tag<std::allocator<void> >, vec3&, double&&, std::shared_ptr<material>&)
  0.00      1.00     0.00      878     0.00     0.00  std::_Sp_counted_ptr_inplace<sphere, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_Sp_counted_ptr_inplace<vec3&, double, std::shared_ptr<material>&>(std::allocator<void>, vec3&, double&&, std::shared_ptr<material>&)
  0.00      1.00     0.00      878     0.00     0.00  void std::_Construct<sphere, vec3&, double, std::shared_ptr<material>&>(sphere*, vec3&, double&&, std::shared_ptr<material>&)
  0.00      1.00     0.00      878     0.00     0.00  std::shared_ptr<std::enable_if<!is_array<sphere>::value, sphere>::type> std::make_shared<sphere, vec3&, double, std::shared_ptr<material>&>(vec3&, double&&, std::shared_ptr<material>&)
  0.00      1.00     0.00      878     0.00     0.00  std::enable_if<__and_<std::__not_<std::__is_tuple_like<material*> >, std::is_move_constructible<material*>, std::is_move_assignable<material*> >::value, void>::type std::swap<material*>(material*&, material*&)
  0.00      1.00     0.00      781     0.00     0.00  tbb::detail::d1::blocked_range<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >::is_divisible() const
  0.00      1.00     0.00      707     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      1.00     0.00      704     0.00     0.00  lambertian::lambertian(vec3 const&)
  0.00      1.00     0.00      704     0.00     0.00  lambertian::~lambertian()
  0.00      1.00     0.00      704     0.00     0.00  std::shared_ptr<lambertian>::~shared_ptr()
  0.00      1.00     0.00      704     0.00     0.00  std::enable_if<!__has_esft_base<lambertian>::value, void>::type std::__shared_ptr<lambertian, (__gnu_cxx::_Lock_policy)2>::_M_enable_shared_from_this_with<lambertian, lambertian>(lambertian*)
  0.00      1.00     0.00      704     0.00     0.00  std::__shared_ptr<lambertian, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      1.00     0.00      704     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::get()
  0.00      1.00     0.00      704     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> > >::operator=(decltype(nullptr))
  0.00      1.00     0.00      704     0.00     0.00  std::__new_allocator<std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::deallocate(std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>*, unsigned long)
  0.00      1.00     0.00      704     0.00     0.00  std::__new_allocator<std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2> >::allocate(unsigned long, void const*)
  0.00      1.00     0.00      704     0.00     0.00  std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      1.00     0.00      704     0.00     0.00  std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      1.00     0.00      704     0.00     0.00  std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::_Impl::_Impl(std::allocator<void>)
  0.00      1.00     0.00      704     0.00     0.00  std::_Sp_counted_ptr_inplace<lambertian, std::allocator<void>, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr_inplace()
